Member_number,Date,itemDescription,year,month,day,day_of_week
1006,6/14/2015,flour,2015,6,14,6
1006,6/14/2015,chocolate,2015,6,14,6
1006,6/14/2015,bottled beer,2015,6,14,6
1006,6/14/2015,rolls/buns,2015,6,14,6
1008,3/10/2015,hamburger meat,2015,3,10,1
1008,3/10/2015,liquor (appetizer),2015,3,10,1
1008,3/10/2015,liver loaf,2015,3,10,1
1008,3/10/2015,dessert,2015,3,10,1
1008,7/21/2015,tropical fruit,2015,7,21,1
1008,7/21/2015,soda,2015,7,21,1
1008,7/21/2015,yogurt,2015,7,21,1
1008,7/21/2015,root vegetables,2015,7,21,1
1008,7/21/2015,yogurt,2015,7,21,1
1008,7/21/2015,domestic eggs,2015,7,21,1
1008,7/21/2015,white wine,2015,7,21,1
1008,7/21/2015,photo/film,2015,7,21,1
1009,1/24/2014,canned fish,2014,1,24,4
1009,1/24/2014,cocoa drinks,2014,1,24,4
1009,5/10/2015,herbs,2015,5,10,6
1009,5/10/2015,yogurt,2015,5,10,6
1009,5/10/2015,newspapers,2015,5,10,6
1009,5/14/2015,tropical fruit,2015,5,14,3
1009,5/14/2015,yogurt,2015,5,14,3
1009,9/23/2015,pastry,2015,9,23,2
1009,9/23/2015,ketchup,2015,9,23,2
1010,5/3/2014,pip fruit,2014,5,3,5
1010,5/3/2014,coffee,2014,5,3,5
1010,5/3/2014,UHT-milk,2014,5,3,5
1010,8/23/2014,bottled water,2014,8,23,5
1010,8/23/2014,specialty bar,2014,8,23,5
1010,8/27/2014,frankfurter,2014,8,27,2
1010,8/27/2014,bottled water,2014,8,27,2
1010,10/4/2014,kitchen towels,2014,10,4,5
1010,10/4/2014,sliced cheese,2014,10,4,5
1010,7/31/2015,pip fruit,2015,7,31,4
1010,7/31/2015,candles,2015,7,31,4
1010,7/31/2015,rolls/buns,2015,7,31,4
1011,2/6/2014,curd cheese,2014,2,6,3
1011,2/6/2014,pastry,2014,2,6,3
1011,2/15/2014,citrus fruit,2014,2,15,5
1011,2/15/2014,candy,2014,2,15,5
1011,2/15/2014,bottled water,2014,2,15,5
1011,2/15/2014,rolls/buns,2014,2,15,5
1011,9/12/2015,whole milk,2015,9,12,5
1011,9/12/2015,frankfurter,2015,9,12,5
1011,9/12/2015,candles,2015,9,12,5
1011,9/12/2015,grapes,2015,9,12,5
1011,9/12/2015,herbs,2015,9,12,5
1011,9/12/2015,other vegetables,2015,9,12,5
1011,9/12/2015,yogurt,2015,9,12,5
1012,6/22/2014,frozen vegetables,2014,6,22,6
1012,6/22/2014,brown bread,2014,6,22,6
1012,3/10/2015,frankfurter,2015,3,10,1
1012,3/10/2015,yogurt,2015,3,10,1
1012,3/27/2015,processed cheese,2015,3,27,4
1012,3/27/2015,whole milk,2015,3,27,4
1012,11/19/2015,tropical fruit,2015,11,19,3
1012,11/19/2015,root vegetables,2015,11,19,3
1012,11/19/2015,rolls/buns,2015,11,19,3
1012,11/19/2015,onions,2015,11,19,3
1012,11/19/2015,shopping bags,2015,11,19,3
1013,1/17/2014,hard cheese,2014,1,17,4
1013,1/17/2014,napkins,2014,1,17,4
1013,1/17/2014,bottled water,2014,1,17,4
1013,2/20/2014,whole milk,2014,2,20,3
1013,2/20/2014,candy,2014,2,20,3
1013,3/26/2014,tropical fruit,2014,3,26,2
1013,3/26/2014,frozen vegetables,2014,3,26,2
1013,3/28/2014,mustard,2014,3,28,4
1013,3/28/2014,whipped/sour cream,2014,3,28,4
1013,7/15/2014,other vegetables,2014,7,15,1
1013,7/15/2014,mustard,2014,7,15,1
1013,12/11/2014,root vegetables,2014,12,11,3
1013,12/11/2014,mayonnaise,2014,12,11,3
1013,2/7/2015,frozen meals,2015,2,7,5
1013,2/7/2015,whole milk,2015,2,7,5
1013,2/10/2015,white bread,2015,2,10,1
1013,2/10/2015,meat,2015,2,10,1
1013,2/10/2015,domestic eggs,2015,2,10,1
1013,2/10/2015,roll products ,2015,2,10,1
1014,4/9/2014,hamburger meat,2014,4,9,2
1014,4/9/2014,butter milk,2014,4,9,2
1014,6/10/2014,whole milk,2014,6,10,1
1014,6/10/2014,rolls/buns,2014,6,10,1
1014,3/10/2015,whole milk,2015,3,10,1
1014,3/10/2015,sausage,2015,3,10,1
1014,3/10/2015,bottled beer,2015,3,10,1
1014,3/10/2015,yogurt,2015,3,10,1
1014,4/1/2015,canned beer,2015,4,1,2
1014,4/1/2015,cookware,2015,4,1,2
1015,6/28/2014,fruit/vegetable juice,2014,6,28,5
1015,6/28/2014,rolls/buns,2014,6,28,5
1015,6/28/2014,chocolate,2014,6,28,5
1015,3/22/2015,salty snack,2015,3,22,6
1015,3/22/2015,beef,2015,3,22,6
1015,4/5/2015,citrus fruit,2015,4,5,6
1015,4/5/2015,whole milk,2015,4,5,6
1016,4/23/2015,soft cheese,2015,4,23,3
1016,4/23/2015,pip fruit,2015,4,23,3
1016,5/10/2015,UHT-milk,2015,5,10,6
1016,5/10/2015,bottled beer,2015,5,10,6
1016,7/19/2015,chicken,2015,7,19,6
1016,7/19/2015,red/blush wine,2015,7,19,6
1016,9/30/2015,rolls/buns,2015,9,30,2
1016,9/30/2015,frankfurter,2015,9,30,2
1016,9/30/2015,oil,2015,9,30,2
1016,9/30/2015,pip fruit,2015,9,30,2
1016,9/30/2015,mayonnaise,2015,9,30,2
1017,2/21/2014,other vegetables,2014,2,21,4
1017,2/21/2014,root vegetables,2014,2,21,4
1017,6/19/2014,yogurt,2014,6,19,3
1017,6/19/2014,beef,2014,6,19,3
1017,10/14/2014,brown bread,2014,10,14,1
1017,10/14/2014,pet care,2014,10,14,1
1017,5/16/2015,other vegetables,2015,5,16,5
1017,5/16/2015,rolls/buns,2015,5,16,5
1017,9/30/2015,soda,2015,9,30,2
1017,9/30/2015,dessert,2015,9,30,2
1017,9/30/2015,shopping bags,2015,9,30,2
1018,1/10/2014,curd,2014,1,10,4
1018,1/10/2014,long life bakery product,2014,1,10,4
1018,4/15/2014,beverages,2014,4,15,1
1018,4/15/2014,domestic eggs,2014,4,15,1
1018,5/27/2014,berries,2014,5,27,1
1018,5/27/2014,cake bar,2014,5,27,1
1018,5/23/2015,butter milk,2015,5,23,5
1018,5/23/2015,root vegetables,2015,5,23,5
1019,10/12/2014,hamburger meat,2014,10,12,6
1019,10/12/2014,red/blush wine,2014,10,12,6
1020,7/19/2014,frozen meals,2014,7,19,5
1020,7/19/2014,butter,2014,7,19,5
1020,7/19/2014,newspapers,2014,7,19,5
1020,7/19/2014,yogurt,2014,7,19,5
1020,12/8/2014,canned beer,2014,12,8,0
1020,12/8/2014,shopping bags,2014,12,8,0
1020,10/13/2015,canned beer,2015,10,13,1
1020,10/13/2015,spices,2015,10,13,1
1020,10/13/2015,rolls/buns,2015,10,13,1
1020,10/13/2015,frozen fish,2015,10,13,1
1021,5/30/2014,sliced cheese,2014,5,30,4
1021,5/30/2014,butter,2014,5,30,4
1021,7/11/2015,rolls/buns,2015,7,11,5
1021,7/11/2015,baking powder,2015,7,11,5
1021,10/22/2015,liquor,2015,10,22,3
1021,10/22/2015,curd,2015,10,22,3
1021,10/22/2015,yogurt,2015,10,22,3
1021,10/22/2015,tropical fruit,2015,10,22,3
1022,2/22/2014,beef,2014,2,22,5
1022,2/22/2014,napkins,2014,2,22,5
1022,3/25/2014,whole milk,2014,3,25,1
1022,3/25/2014,whipped/sour cream,2014,3,25,1
1022,7/6/2014,sausage,2014,7,6,6
1022,7/6/2014,fruit/vegetable juice,2014,7,6,6
1023,5/17/2014,chicken,2014,5,17,5
1023,5/17/2014,frozen meals,2014,5,17,5
1023,5/22/2014,male cosmetics,2014,5,22,3
1023,5/22/2014,curd,2014,5,22,3
1023,6/13/2014,domestic eggs,2014,6,13,4
1023,6/13/2014,soda,2014,6,13,4
1023,12/30/2014,sausage,2014,12,30,1
1023,12/30/2014,whipped/sour cream,2014,12,30,1
1023,12/30/2014,specialty bar,2014,12,30,1
1023,6/1/2015,whipped/sour cream,2015,6,1,0
1023,6/1/2015,root vegetables,2015,6,1,0
1023,6/1/2015,rolls/buns,2015,6,1,0
1023,6/1/2015,packaged fruit/vegetables,2015,6,1,0
1023,6/28/2015,white bread,2015,6,28,6
1023,6/28/2015,bottled beer,2015,6,28,6
1023,6/28/2015,yogurt,2015,6,28,6
1023,6/28/2015,berries,2015,6,28,6
1024,10/8/2015,fish,2015,10,8,3
1024,10/8/2015,root vegetables,2015,10,8,3
1024,10/8/2015,tropical fruit,2015,10,8,3
1024,10/8/2015,other vegetables,2015,10,8,3
1025,6/2/2014,coffee,2014,6,2,0
1025,6/2/2014,shopping bags,2014,6,2,0
1025,10/3/2014,ham,2014,10,3,4
1025,10/3/2014,cream cheese ,2014,10,3,4
1025,8/19/2015,canned beer,2015,8,19,2
1025,8/19/2015,UHT-milk,2015,8,19,2
1026,6/18/2014,root vegetables,2014,6,18,2
1026,6/18/2014,long life bakery product,2014,6,18,2
1026,8/3/2014,sausage,2014,8,3,6
1026,8/3/2014,dessert,2014,8,3,6
1026,8/3/2014,rolls/buns,2014,8,3,6
1026,8/3/2014,pickled vegetables,2014,8,3,6
1026,8/23/2014,citrus fruit,2014,8,23,5
1026,8/23/2014,yogurt,2014,8,23,5
1026,3/15/2015,fruit/vegetable juice,2015,3,15,6
1026,3/15/2015,salty snack,2015,3,15,6
1026,3/15/2015,candy,2015,3,15,6
1026,3/15/2015,dental care,2015,3,15,6
1026,3/15/2015,butter,2015,3,15,6
1026,5/28/2015,root vegetables,2015,5,28,3
1026,5/28/2015,whipped/sour cream,2015,5,28,3
1026,5/28/2015,root vegetables,2015,5,28,3
1026,5/28/2015,canned beer,2015,5,28,3
1027,5/14/2014,softener,2014,5,14,2
1027,5/14/2014,salt,2014,5,14,2
1027,5/14/2014,whole milk,2014,5,14,2
1027,9/22/2014,rolls/buns,2014,9,22,0
1027,9/22/2014,bottled water,2014,9,22,0
1027,2/25/2015,rolls/buns,2015,2,25,2
1027,2/25/2015,red/blush wine,2015,2,25,2
1027,5/17/2015,pork,2015,5,17,6
1027,5/17/2015,hamburger meat,2015,5,17,6
1028,4/24/2014,rolls/buns,2014,4,24,3
1028,4/24/2014,baking powder,2014,4,24,3
1028,4/24/2014,onions,2014,4,24,3
1028,4/24/2014,bottled water,2014,4,24,3
1028,5/4/2014,rolls/buns,2014,5,4,6
1028,5/4/2014,sugar,2014,5,4,6
1028,10/11/2014,soda,2014,10,11,5
1028,10/11/2014,butter,2014,10,11,5
1028,2/6/2015,onions,2015,2,6,4
1028,2/6/2015,canned beer,2015,2,6,4
1028,2/6/2015,flower (seeds),2015,2,6,4
1028,11/7/2015,specialty chocolate,2015,11,7,5
1028,11/7/2015,root vegetables,2015,11,7,5
1029,3/14/2015,dessert,2015,3,14,5
1029,3/14/2015,ham,2015,3,14,5
1031,4/3/2014,ice cream,2014,4,3,3
1031,4/3/2014,pot plants,2014,4,3,3
1031,8/26/2015,beverages,2015,8,26,2
1031,8/26/2015,cream cheese ,2015,8,26,2
1031,10/15/2015,other vegetables,2015,10,15,3
1031,10/15/2015,other vegetables,2015,10,15,3
1031,10/15/2015,berries,2015,10,15,3
1032,1/26/2014,whipped/sour cream,2014,1,26,6
1032,1/26/2014,newspapers,2014,1,26,6
1032,9/23/2014,white bread,2014,9,23,1
1032,9/23/2014,whole milk,2014,9,23,1
1032,9/23/2014,pastry,2014,9,23,1
1032,9/23/2014,shopping bags,2014,9,23,1
1032,6/15/2015,berries,2015,6,15,0
1032,6/15/2015,soda,2015,6,15,0
1032,6/15/2015,butter,2015,6,15,0
1032,6/15/2015,other vegetables,2015,6,15,0
1032,6/15/2015,white bread,2015,6,15,0
1032,6/15/2015,cream cheese ,2015,6,15,0
1032,7/13/2015,ice cream,2015,7,13,0
1032,7/13/2015,whipped/sour cream,2015,7,13,0
1032,8/23/2015,yogurt,2015,8,23,6
1032,8/23/2015,root vegetables,2015,8,23,6
1033,2/3/2014,frankfurter,2014,2,3,0
1033,2/3/2014,pastry,2014,2,3,0
1033,4/18/2014,fruit/vegetable juice,2014,4,18,4
1033,4/18/2014,dessert,2014,4,18,4
1033,4/21/2014,sausage,2014,4,21,0
1033,4/21/2014,snack products,2014,4,21,0
1033,4/21/2014,rolls/buns,2014,4,21,0
1033,4/22/2015,tropical fruit,2015,4,22,2
1033,4/22/2015,soda,2015,4,22,2
1033,4/22/2015,rolls/buns,2015,4,22,2
1033,6/15/2015,chicken,2015,6,15,0
1033,6/15/2015,waffles,2015,6,15,0
1034,2/24/2014,pip fruit,2014,2,24,0
1034,2/24/2014,cling film/bags,2014,2,24,0
1034,2/24/2014,yogurt,2014,2,24,0
1034,2/24/2014,cat food,2014,2,24,0
1034,4/28/2014,bottled water,2014,4,28,0
1034,4/28/2014,domestic eggs,2014,4,28,0
1034,4/28/2014,frozen meals,2014,4,28,0
1034,5/13/2014,tropical fruit,2014,5,13,1
1034,5/13/2014,newspapers,2014,5,13,1
1035,6/25/2014,whole milk,2014,6,25,2
1035,6/25/2014,frozen vegetables,2014,6,25,2
1035,8/15/2014,pip fruit,2014,8,15,4
1035,8/15/2014,white wine,2014,8,15,4
1035,8/15/2014,white bread,2014,8,15,4
1035,8/15/2014,salt,2014,8,15,4
1035,4/24/2015,whole milk,2015,4,24,4
1035,4/24/2015,yogurt,2015,4,24,4
1035,4/24/2015,yogurt,2015,4,24,4
1035,4/24/2015,rolls/buns,2015,4,24,4
1035,5/23/2015,sausage,2015,5,23,5
1035,5/23/2015,frozen vegetables,2015,5,23,5
1035,8/9/2015,whole milk,2015,8,9,6
1035,8/9/2015,newspapers,2015,8,9,6
1036,1/20/2014,fruit/vegetable juice,2014,1,20,0
1036,1/20/2014,vinegar,2014,1,20,0
1037,2/24/2014,tropical fruit,2014,2,24,0
1037,2/24/2014,white bread,2014,2,24,0
1037,2/24/2014,rolls/buns,2014,2,24,0
1037,6/6/2014,citrus fruit,2014,6,6,4
1037,6/6/2014,shopping bags,2014,6,6,4
1037,6/6/2014,chewing gum,2014,6,6,4
1037,6/6/2014,cake bar,2014,6,6,4
1037,12/16/2015,frankfurter,2015,12,16,2
1037,12/16/2015,yogurt,2015,12,16,2
1037,12/16/2015,canned beer,2015,12,16,2
1038,1/28/2014,margarine,2014,1,28,1
1038,1/28/2014,napkins,2014,1,28,1
1038,2/4/2015,whole milk,2015,2,4,2
1038,2/4/2015,pip fruit,2015,2,4,2
1038,2/4/2015,whipped/sour cream,2015,2,4,2
1038,2/21/2015,sausage,2015,2,21,5
1038,2/21/2015,pork,2015,2,21,5
1038,2/21/2015,butter,2015,2,21,5
1038,2/21/2015,whole milk,2015,2,21,5
1038,2/21/2015,fruit/vegetable juice,2015,2,21,5
1038,4/23/2015,pip fruit,2015,4,23,3
1038,4/23/2015,herbs,2015,4,23,3
1038,4/23/2015,frozen meals,2015,4,23,3
1038,10/4/2015,other vegetables,2015,10,4,6
1038,10/4/2015,specialty chocolate,2015,10,4,6
1038,12/14/2015,Instant food products,2015,12,14,0
1038,12/14/2015,whipped/sour cream,2015,12,14,0
1038,12/14/2015,butter,2015,12,14,0
1038,12/14/2015,cake bar,2015,12,14,0
1039,5/31/2015,salty snack,2015,5,31,6
1039,5/31/2015,rolls/buns,2015,5,31,6
1040,3/9/2014,whole milk,2014,3,9,6
1040,3/9/2014,pasta,2014,3,9,6
1040,3/9/2014,rolls/buns,2014,3,9,6
1040,6/14/2014,yogurt,2014,6,14,5
1040,6/14/2014,rolls/buns,2014,6,14,5
1040,10/24/2014,root vegetables,2014,10,24,4
1040,10/24/2014,white bread,2014,10,24,4
1040,11/26/2015,tropical fruit,2015,11,26,3
1040,11/26/2015,chicken,2015,11,26,3
1040,11/26/2015,onions,2015,11,26,3
1040,11/26/2015,packaged fruit/vegetables,2015,11,26,3
1041,6/13/2014,chicken,2014,6,13,4
1041,6/13/2014,frozen vegetables,2014,6,13,4
1041,6/13/2014,candy,2014,6,13,4
1041,6/29/2014,tropical fruit,2014,6,29,6
1041,6/29/2014,brown bread,2014,6,29,6
1041,6/29/2014,whole milk,2014,6,29,6
1041,7/7/2014,prosecco,2014,7,7,0
1041,7/7/2014,dessert,2014,7,7,0
1041,2/4/2015,hamburger meat,2015,2,4,2
1041,2/4/2015,yogurt,2015,2,4,2
1042,5/22/2015,citrus fruit,2015,5,22,4
1042,5/22/2015,bottled water,2015,5,22,4
1042,10/16/2015,whole milk,2015,10,16,4
1042,10/16/2015,other vegetables,2015,10,16,4
1042,12/2/2015,beef,2015,12,2,2
1042,12/2/2015,dessert,2015,12,2,2
1043,3/14/2014,tropical fruit,2014,3,14,4
1043,3/14/2014,sliced cheese,2014,3,14,4
1043,6/16/2014,napkins,2014,6,16,0
1043,6/16/2014,whole milk,2014,6,16,0
1043,6/16/2014,chocolate marshmallow,2014,6,16,0
1043,10/1/2015,citrus fruit,2015,10,1,3
1043,10/1/2015,rolls/buns,2015,10,1,3
1043,10/1/2015,whole milk,2015,10,1,3
1044,9/2/2015,tropical fruit,2015,9,2,2
1044,9/2/2015,other vegetables,2015,9,2,2
1044,10/25/2015,root vegetables,2015,10,25,6
1044,10/25/2015,curd,2015,10,25,6
1045,10/4/2014,fruit/vegetable juice,2014,10,4,5
1045,10/4/2014,specialty chocolate,2014,10,4,5
1045,10/4/2014,Instant food products,2014,10,4,5
1045,12/1/2014,root vegetables,2014,12,1,0
1045,12/1/2014,yogurt,2014,12,1,0
1045,12/1/2014,butter,2014,12,1,0
1045,12/1/2014,yogurt,2014,12,1,0
1045,11/25/2015,chicken,2015,11,25,2
1045,11/25/2015,onions,2015,11,25,2
1046,6/18/2015,whole milk,2015,6,18,3
1046,6/18/2015,pastry,2015,6,18,3
1046,6/24/2015,pork,2015,6,24,2
1046,6/24/2015,bottled water,2015,6,24,2
1047,12/17/2014,pip fruit,2014,12,17,2
1047,12/17/2014,soda,2014,12,17,2
1047,4/1/2015,curd,2015,4,1,2
1047,4/1/2015,soda,2015,4,1,2
1047,9/8/2015,sweet spreads,2015,9,8,1
1047,9/8/2015,butter,2015,9,8,1
1048,6/10/2015,rolls/buns,2015,6,10,2
1048,6/10/2015,condensed milk,2015,6,10,2
1048,6/10/2015,whole milk,2015,6,10,2
1048,6/10/2015,soda,2015,6,10,2
1048,10/18/2015,rolls/buns,2015,10,18,6
1048,10/18/2015,tropical fruit,2015,10,18,6
1049,7/1/2014,specialty bar,2014,7,1,1
1049,7/1/2014,margarine,2014,7,1,1
1049,1/7/2015,butter,2015,1,7,2
1049,1/7/2015,whole milk,2015,1,7,2
1049,4/8/2015,white bread,2015,4,8,2
1049,4/8/2015,candy,2015,4,8,2
1049,5/9/2015,frankfurter,2015,5,9,5
1049,5/9/2015,herbs,2015,5,9,5
1050,2/15/2014,waffles,2014,2,15,5
1050,2/15/2014,beverages,2014,2,15,5
1050,5/30/2014,pasta,2014,5,30,4
1050,5/30/2014,yogurt,2014,5,30,4
1050,5/30/2014,cat food,2014,5,30,4
1050,6/3/2014,house keeping products,2014,6,3,1
1050,6/3/2014,yogurt,2014,6,3,1
1050,10/10/2014,whipped/sour cream,2014,10,10,4
1050,10/10/2014,hygiene articles,2014,10,10,4
1050,12/10/2014,UHT-milk,2014,12,10,2
1050,12/10/2014,other vegetables,2014,12,10,2
1050,12/10/2014,dishes,2014,12,10,2
1050,4/5/2015,meat,2015,4,5,6
1050,4/5/2015,whole milk,2015,4,5,6
1051,1/13/2014,hamburger meat,2014,1,13,0
1051,1/13/2014,bottled beer,2014,1,13,0
1051,9/17/2014,pork,2014,9,17,2
1051,9/17/2014,coffee,2014,9,17,2
1051,9/17/2014,frozen vegetables,2014,9,17,2
1051,12/26/2014,shopping bags,2014,12,26,4
1051,12/26/2014,shopping bags,2014,12,26,4
1051,10/11/2015,fish,2015,10,11,6
1051,10/11/2015,tropical fruit,2015,10,11,6
1051,10/11/2015,red/blush wine,2015,10,11,6
1051,10/11/2015,cream cheese ,2015,10,11,6
1051,12/8/2015,other vegetables,2015,12,8,1
1051,12/8/2015,soda,2015,12,8,1
1051,12/8/2015,rolls/buns,2015,12,8,1
1051,12/8/2015,dishes,2015,12,8,1
1051,12/10/2015,tropical fruit,2015,12,10,3
1051,12/10/2015,other vegetables,2015,12,10,3
1051,12/10/2015,hamburger meat,2015,12,10,3
1051,12/10/2015,popcorn,2015,12,10,3
1051,12/10/2015,female sanitary products,2015,12,10,3
1052,1/15/2014,root vegetables,2014,1,15,2
1052,1/15/2014,grapes,2014,1,15,2
1052,3/24/2014,chicken,2014,3,24,0
1052,3/24/2014,beverages,2014,3,24,0
1052,3/24/2014,coffee,2014,3,24,0
1052,4/1/2014,beef,2014,4,1,1
1052,4/1/2014,shopping bags,2014,4,1,1
1052,5/12/2014,soda,2014,5,12,0
1052,5/12/2014,hamburger meat,2014,5,12,0
1052,9/29/2014,butter,2014,9,29,0
1052,9/29/2014,dog food,2014,9,29,0
1052,10/13/2014,soda,2014,10,13,0
1052,10/13/2014,whole milk,2014,10,13,0
1052,11/20/2014,bottled water,2014,11,20,3
1052,11/20/2014,chewing gum,2014,11,20,3
1052,5/15/2015,frankfurter,2015,5,15,4
1052,5/15/2015,whipped/sour cream,2015,5,15,4
1052,6/7/2015,butter milk,2015,6,7,6
1052,6/7/2015,yogurt,2015,6,7,6
1052,6/7/2015,yogurt,2015,6,7,6
1052,6/7/2015,margarine,2015,6,7,6
1052,10/27/2015,pork,2015,10,27,1
1052,10/27/2015,other vegetables,2015,10,27,1
1052,10/27/2015,yogurt,2015,10,27,1
1052,10/27/2015,shopping bags,2015,10,27,1
1052,10/27/2015,soft cheese,2015,10,27,1
1052,10/27/2015,detergent,2015,10,27,1
1053,4/30/2014,soda,2014,4,30,2
1053,4/30/2014,soda,2014,4,30,2
1053,5/11/2014,chicken,2014,5,11,6
1053,5/11/2014,frozen vegetables,2014,5,11,6
1053,5/16/2014,waffles,2014,5,16,4
1053,5/16/2014,rolls/buns,2014,5,16,4
1053,5/23/2014,whole milk,2014,5,23,4
1053,5/23/2014,sugar,2014,5,23,4
1053,10/12/2014,other vegetables,2014,10,12,6
1053,10/12/2014,whole milk,2014,10,12,6
1053,9/7/2015,hamburger meat,2015,9,7,0
1053,9/7/2015,pastry,2015,9,7,0
1054,1/16/2014,soda,2014,1,16,3
1054,1/16/2014,fruit/vegetable juice,2014,1,16,3
1054,2/9/2015,bottled beer,2015,2,9,0
1054,2/9/2015,oil,2015,2,9,0
1054,4/10/2015,frankfurter,2015,4,10,4
1054,4/10/2015,citrus fruit,2015,4,10,4
1054,4/10/2015,margarine,2015,4,10,4
1054,10/21/2015,photo/film,2015,10,21,2
1054,10/21/2015,other vegetables,2015,10,21,2
1055,5/8/2014,pork,2014,5,8,3
1055,5/8/2014,white wine,2014,5,8,3
1055,5/25/2015,bottled water,2015,5,25,0
1055,5/25/2015,yogurt,2015,5,25,0
1055,5/25/2015,newspapers,2015,5,25,0
1055,5/25/2015,soda,2015,5,25,0
1056,9/24/2014,ham,2014,9,24,2
1056,9/24/2014,whole milk,2014,9,24,2
1056,9/11/2015,whipped/sour cream,2015,9,11,4
1056,9/11/2015,meat spreads,2015,9,11,4
1056,9/13/2015,pip fruit,2015,9,13,6
1056,9/13/2015,other vegetables,2015,9,13,6
1057,5/3/2014,salty snack,2014,5,3,5
1057,5/3/2014,pickled vegetables,2014,5,3,5
1057,6/1/2014,soda,2014,6,1,6
1057,6/1/2014,domestic eggs,2014,6,1,6
1057,6/1/2014,sliced cheese,2014,6,1,6
1057,6/1/2014,soda,2014,6,1,6
1057,8/6/2014,tropical fruit,2014,8,6,2
1057,8/6/2014,UHT-milk,2014,8,6,2
1058,5/24/2014,chicken,2014,5,24,5
1058,5/24/2014,other vegetables,2014,5,24,5
1058,7/8/2014,yogurt,2014,7,8,1
1058,7/8/2014,root vegetables,2014,7,8,1
1058,6/4/2015,sausage,2015,6,4,3
1058,6/4/2015,bottled water,2015,6,4,3
1058,10/11/2015,root vegetables,2015,10,11,6
